RS-3,
X,Y
0.9876 , 442.7785
0.9515 , 437.3624
0.9174 , 434.7834
0.8849 , 432.7201
0.8519 , 430.9147
0.8148 , 427.0461
0.7802 , 423.1774
0.7503 , 419.0509
0.7162 , 414.4085
0.6811 , 408.9924
0.6486 , 403.5763
0.6135 , 397.9023
0.5795 , 392.7442
0.5480 , 387.8439
0.5119 , 381.9120
0.4773 , 375.9801
0.4453 , 371.0798
0.4133 , 365.4058
0.3777 , 360.2476
0.3431 , 353.7999
0.3091 , 347.3521
0.2761 , 340.9044
0.2446 , 334.4567
0.2069 , 323.8824
0.1749 , 314.3398
0.1398 , 301.4443
0.1115 , 288.0330
0.0712 , 264.0475
0.0454 , 240.8356
0.0057 , 166.2999
