C-600,
X,Y
0.9952 , 749.2243
0.9517 , 515.6559
0.8997 , 468.8293
0.8511 , 449.6474
0.7987 , 439.4922
0.7477 , 435.5430
0.7001 , 431.0296
0.6505 , 428.2087
0.6005 , 425.9520
0.5501 , 423.6953
0.4996 , 422.5670
0.4510 , 420.8745
0.4000 , 419.1819
0.3491 , 416.9252
0.2996 , 414.6685
0.2496 , 411.2835
0.1995 , 405.0776
0.1505 , 398.8717
0.1014 , 390.4090
0.0919 , 385.8956
0.0702 , 377.9972
0.0504 , 367.2779
0.0291 , 351.4810
0.0111 , 323.8364
0.0073 , 315.9379
0.0045 , 306.3470
0.0031 , 293.9351
0.0006 , 244.8519
0.0000 , 210.4372
-0.0005 , 187.3061
-0.0007 , 119.6051
-0.0007 , 107.1932
