C-700,
X,Y
0.0041 , 269.0835
-0.0007 , 220.2934
0.0005 , 183.0379
0.0003 , 157.0833
0.0002 , 132.3550
0.0200 , 305.4557
0.0432 , 336.9083
0.0687 , 357.7226
0.0941 , 369.3921
0.1195 , 384.1138
0.1449 , 396.7160
0.1703 , 404.4535
0.1951 , 414.8605
0.2212 , 417.8463
0.2463 , 424.5845
0.2720 , 425.7778
0.2974 , 430.6771
0.3228 , 436.5556
0.3482 , 437.9841
0.3736 , 443.7960
0.3990 , 447.5351
0.4244 , 452.2728
0.4498 , 458.8202
0.4752 , 461.2954
0.5006 , 465.8613
0.5260 , 466.6409
0.5514 , 470.0455
0.5768 , 472.3526
0.6022 , 476.4633
0.6276 , 479.4591
0.6530 , 482.9937
0.6784 , 485.4267
0.7038 , 489.5421
0.7292 , 493.3207
0.7546 , 496.9069
0.7800 , 500.5007
0.8054 , 503.5497
0.8308 , 506.8510
0.8562 , 509.8679
0.8816 , 522.3886
0.9071 , 531.6882
0.9325 , 542.7019
0.9546 , 559.4610
0.9952 , 719.1058
-0.0008 , 80.1128
-0.0007 , 99.2948
0.0082 , 280.9591
0.0120 , 287.7292
0.0300 , 321.5797
0.0546 , 346.4034
