OPKC8,
X,Y
0.0087 , 148.6307
0.0278 , 162.8004
0.0588 , 172.2612
0.0807 , 174.2443
0.1016 , 177.0131
0.1231 , 178.2095
0.1454 , 180.9793
0.1677 , 183.3560
0.1860 , 183.7635
0.2051 , 184.5650
0.2466 , 184.5976
0.3017 , 185.4273
0.3482 , 188.2162
0.3974 , 188.2549
0.4490 , 188.2954
0.4982 , 188.3341
0.5479 , 190.3391
0.5994 , 190.7728
0.6486 , 190.4183
0.6978 , 190.8502
0.7466 , 190.8885
0.7985 , 190.9294
0.8200 , 190.9462
0.8482 , 191.3616
0.8742 , 190.9889
0.8993 , 191.7950
0.9221 , 192.2061
0.9476 , 193.0125
0.9576 , 196.1659
0.9654 , 196.1720
0.9745 , 196.1791
0.9813 , 197.7573
0.9891 , 198.1565
