OPKC95,
X,Y
0.0064 , 262.6525
0.0255 , 296.0882
0.0574 , 319.3112
0.0775 , 333.8748
0.0953 , 345.2912
0.1158 , 355.9233
0.1363 , 365.3758
0.1604 , 374.4381
0.1805 , 381.5312
0.2037 , 390.1995
0.2402 , 401.2374
0.2949 , 414.6487
0.3441 , 424.5170
0.3906 , 433.2036
0.4426 , 441.5014
0.4918 , 448.2242
0.5438 , 455.3424
0.5957 , 461.6742
0.6449 , 466.4311
0.6942 , 471.5813
0.7443 , 475.9457
0.7944 , 480.3102
0.8154 , 482.6858
0.8469 , 484.2832
0.8715 , 487.4481
0.8961 , 488.2538
0.9221 , 491.0265
0.9426 , 495.7609
0.9558 , 500.4895
0.9672 , 504.0371
0.9763 , 508.7625
0.9863 , 513.4886
0.9936 , 519.7853
