OPZn8,
X,Y
0.9869 , 336.5924
0.9553 , 333.6184
0.9449 , 332.9586
0.9218 , 331.3082
0.8970 , 331.6480
0.8694 , 331.6572
0.8468 , 331.6647
0.8161 , 329.6852
0.7948 , 329.3606
0.7433 , 329.3777
0.6936 , 328.0677
0.6453 , 326.0940
0.5933 , 323.7900
0.5409 , 322.8125
0.4953 , 318.1851
0.4451 , 312.8959
0.3918 , 304.6232
0.3461 , 298.0061
0.2964 , 287.7425
0.2535 , 278.4716
0.1934 , 261.5792
0.1731 , 256.9433
0.1532 , 250.6493
0.1351 , 244.0230
0.1161 , 240.7131
0.0962 , 231.1029
0.0746 , 221.8249
0.0565 , 213.8722
0.0271 , 194.9800
0.0068 , 172.4370
