b,
X,Y
0.0002 , 149.5554
0.0008 , 161.8460
0.0014 , 173.8752
0.0026 , 185.3811
0.0049 , 196.8868
0.0101 , 208.3917
0.0287 , 228.7844
0.0576 , 243.4212
0.0703 , 247.6019
0.0818 , 251.7830
0.0922 , 254.3953
0.1015 , 256.4850
0.1206 , 259.8796
0.1414 , 263.5352
0.1627 , 267.1907
0.1830 , 270.0620
0.2020 , 272.1491
0.2506 , 277.6280
0.3026 , 282.8445
0.3349 , 286.2357
0.3505 , 287.0161
0.3956 , 291.9729
0.4020 , 291.1867
0.4488 , 295.6201
0.5008 , 299.7906
0.5504 , 303.9617
0.6007 , 308.3942
0.6504 , 313.0883
0.7007 , 317.5208
0.7504 , 322.7379
0.7995 , 328.7397
0.8208 , 331.6107
0.8503 , 335.2641
0.8752 , 339.4417
0.9000 , 343.8808
0.9254 , 348.8427
0.9497 , 355.6356
0.9740 , 366.6125
0.9815 , 371.8406
0.9896 , 381.5142
0.9948 , 388.5735
