c,
X,Y
-0.0006 , 20.3711
-0.0000 , 40.2847
-0.0000 , 60.0190
0.0006 , 79.5738
0.0106 , 95.7209
0.0211 , 99.9378
0.0323 , 102.0916
0.0464 , 104.1560
0.0728 , 106.2215
0.0921 , 107.2997
0.1109 , 108.2881
0.1356 , 109.0976
0.1526 , 109.8167
0.1761 , 110.3570
0.2007 , 111.1665
0.2248 , 111.6172
0.2500 , 112.1577
0.2752 , 112.5187
0.2993 , 112.9694
0.3198 , 113.0609
0.3410 , 113.5113
0.3791 , 114.1427
0.4190 , 114.5051
0.4577 , 114.8673
0.4982 , 115.2298
0.5381 , 115.5922
0.5781 , 116.0442
0.6185 , 116.3170
0.6585 , 116.7691
0.6989 , 117.0418
0.7383 , 117.4041
0.7776 , 117.9459
0.8175 , 118.3979
0.8586 , 119.0295
0.8885 , 119.6601
0.9014 , 119.9304
0.9202 , 120.2909
0.9390 , 121.0102
0.9601 , 122.3576
0.9777 , 123.7944
0.9871 , 125.5892
0.9953 , 127.6531
