d,
X,Y
-0.0018 , 20.6363
0.0082 , 30.5269
0.0205 , 33.3466
0.0322 , 34.8175
0.0462 , 36.1248
0.0725 , 37.8403
0.0889 , 38.6162
0.1105 , 39.3919
0.1345 , 40.1675
0.1515 , 40.6164
0.1760 , 41.1467
0.2012 , 41.7179
0.2257 , 42.0848
0.2509 , 42.4107
0.2754 , 42.6549
0.2988 , 43.0218
0.3193 , 43.2662
0.3409 , 43.4697
0.3789 , 43.7951
0.4181 , 44.1205
0.4579 , 44.5276
0.4982 , 44.9347
0.5374 , 45.1783
0.5784 , 45.5445
0.6181 , 45.8698
0.6579 , 46.2769
0.6977 , 46.5614
0.7380 , 47.0093
0.7778 , 47.4573
0.8175 , 47.8644
0.8585 , 48.4758
0.8877 , 48.9651
0.9018 , 49.2915
0.9187 , 49.9856
0.9392 , 50.7613
0.9544 , 51.5781
0.9696 , 52.4767
0.9801 , 53.9477
0.9848 , 55.3371
0.9918 , 56.4812
0.9947 , 57.7890
