6-1,
X,Y
0.9995 , 750.7583
0.9496 , 735.8345
0.8976 , 730.5895
0.8488 , 726.4909
0.7978 , 723.5267
0.7510 , 721.1416
0.7006 , 716.4698
0.6497 , 713.5056
0.6008 , 711.1158
0.5504 , 707.5832
0.5005 , 704.0518
0.4480 , 697.6664
0.3961 , 693.5607
0.3467 , 687.7520
0.3020 , 681.3842
0.2500 , 673.2911
0.2001 , 662.9243
0.1497 , 649.1385
0.0998 , 625.1008
0.0499 , 575.9998
0.0103 , 487.0488
0.0057 , 473.3673
0.0041 , 459.6929
0.0036 , 438.6158
0.0026 , 396.4616
0.0026 , 386.2084
0.0026 , 374.2464
0.0026 , 356.0185
0.0026 , 316.1451
0.0031 , 267.1589
0.0031 , 250.6399
0.0036 , 227.2867
0.0041 , 192.5410
0.0041 , 137.8575
