2.5h_f5,
X,Y
0.0600 , 542.1005
0.1000 , 581.8651
0.1200 , 590.8592
0.1400 , 599.8711
0.1600 , 608.4502
0.1800 , 614.6656
0.2000 , 619.0147
0.2200 , 623.0575
0.2400 , 626.8512
0.2600 , 630.2843
0.2800 , 633.6922
0.3000 , 636.5743
0.3200 , 639.0572
0.3400 , 641.2504
0.3600 , 643.1511
0.3800 , 644.9777
0.4000 , 646.7198
0.4200 , 648.4372
0.4400 , 650.2078
0.4600 , 651.8987
0.4800 , 653.6367
0.5000 , 655.4232
0.5200 , 657.1162
0.5400 , 658.4616
0.5600 , 659.4895
0.5800 , 660.3265
0.6000 , 661.1510
0.6200 , 662.1286
0.6400 , 663.2585
0.6600 , 664.5446
0.6800 , 666.2007
0.7000 , 668.0883
0.7200 , 669.8905
0.7400 , 671.2175
0.7600 , 671.8785
0.7800 , 672.4603
0.8000 , 673.2816
0.8200 , 674.3790
0.8400 , 675.6596
0.8600 , 677.0428
0.8800 , 678.4480
0.9000 , 679.9404
0.9200 , 682.1238
0.9400 , 685.6365
0.9600 , 690.2451
0.9800 , 696.5707
0.0108 , 460.2532
0.0056 , 439.7468
0.0407 , 525.1899
0.0880 , 570.7595
