PR3_600_f2_3,
X,Y
0.9886 , 217.7888
0.9378 , 217.0157
0.8904 , 216.4611
0.8633 , 216.2374
0.8333 , 216.1220
0.8083 , 216.0077
0.7644 , 215.9982
0.7386 , 215.5571
0.7142 , 215.4429
0.6892 , 215.2197
0.6627 , 214.9962
0.6390 , 214.6645
0.6133 , 214.6589
0.5889 , 214.4358
0.5631 , 214.1036
0.5373 , 213.5537
0.5130 , 213.5484
0.4872 , 213.1073
0.4600 , 212.9926
0.3869 , 212.1057
0.3632 , 211.9917
0.3124 , 211.4363
0.2852 , 210.6683
0.2615 , 210.0100
0.2128 , 209.1285
0.1863 , 208.0340
0.1361 , 205.9547
0.1111 , 205.0783
0.0839 , 203.1128
0.0630 , 200.7133
0.0532 , 199.4048
0.0434 , 197.5519
0.0351 , 195.5905
0.0281 , 193.3029
0.0225 , 190.7978
0.0190 , 188.1842
0.0162 , 186.0063
0.0141 , 183.5020
0.0099 , 180.4529
0.3402 , 211.6601
0.4113 , 212.6553
