PRO_f2_3,
X,Y
0.0098 , 244.7919
0.0126 , 248.3850
0.0147 , 251.8692
0.0182 , 254.0472
0.0224 , 256.2254
0.0246 , 258.1854
0.0294 , 260.3638
0.0350 , 262.3246
0.0399 , 264.2852
0.0469 , 266.1374
0.0560 , 268.0990
0.0825 , 271.6973
0.1104 , 273.5541
0.1368 , 275.1928
0.1633 , 276.8315
0.1863 , 277.7074
0.2128 , 278.6930
0.2358 , 279.2423
0.2636 , 280.1193
0.2852 , 280.5595
0.3124 , 281.0008
0.3361 , 281.5503
0.3611 , 281.7735
0.3876 , 282.3236
0.4120 , 283.0910
0.4378 , 283.3143
0.4621 , 283.6462
0.4747 , 283.9755
0.4893 , 284.0876
0.5130 , 283.9839
0.5367 , 284.3156
0.5631 , 284.7568
0.5875 , 285.3065
0.6133 , 285.4209
0.6404 , 285.4268
0.6634 , 285.7584
0.6878 , 286.1992
0.7136 , 286.3137
0.7393 , 286.6459
0.7644 , 286.8691
0.7888 , 287.0921
0.8152 , 287.2067
0.8626 , 287.4348
0.8897 , 287.6584
0.9148 , 287.9905
0.9399 , 288.4314
0.9866 , 288.8770
