PRO_f2_4,
X,Y
0.0422 , 263.9535
0.0573 , 267.5014
0.0781 , 270.8438
0.1029 , 272.6314
0.1288 , 274.1910
0.1528 , 275.7534
0.1759 , 276.7983
0.2009 , 277.7169
0.2259 , 278.5476
0.2495 , 279.3762
0.2729 , 279.8162
0.2971 , 280.4347
0.3214 , 280.9413
0.3456 , 281.6055
0.3689 , 281.8050
0.3934 , 282.2419
0.4183 , 282.8013
0.4426 , 283.0493
0.5396 , 284.5361
0.5638 , 284.7823
0.5881 , 285.0469
0.6123 , 285.2760
0.6366 , 285.6088
0.6608 , 285.7434
0.6851 , 286.0416
0.7093 , 286.1137
0.7344 , 286.4411
0.7578 , 286.8069
0.7821 , 286.9123
0.8063 , 287.2524
0.8305 , 287.6518
0.8548 , 287.8171
0.8790 , 287.8513
0.9033 , 287.7925
0.9285 , 288.0312
0.9760 , 289.5145
0.9937 , 289.1946
0.5100 , 284.2656
0.4874 , 283.9303
0.4634 , 283.4306
0.9467 , 288.5071
0.0120 , 248.6925
0.0093 , 245.4129
0.0133 , 251.3158
0.0160 , 254.1036
0.0200 , 256.2361
0.0240 , 259.3521
0.0333 , 261.3224
0.0479 , 265.9174
