SK-0.3-700,
X,Y
0.0132 , 179.6680
0.0534 , 188.3817
0.0877 , 190.8714
0.1221 , 191.4938
0.1557 , 192.7386
0.1915 , 193.3610
0.2266 , 194.6058
0.2610 , 194.6058
0.2946 , 195.2282
0.3099 , 195.8506
0.3304 , 194.6058
0.3465 , 195.8506
0.3655 , 194.6058
0.3816 , 196.4730
0.3991 , 195.8506
0.4342 , 195.8506
0.4693 , 195.8506
0.5044 , 196.4730
0.5402 , 196.4730
0.5746 , 196.4730
0.6104 , 196.4730
0.6455 , 197.0954
0.6806 , 197.7178
0.7142 , 198.3402
0.7500 , 198.3402
0.7851 , 199.5851
0.8202 , 202.0747
0.8560 , 203.3195
0.8918 , 205.8091
0.9254 , 209.5436
0.9613 , 215.1452
0.9956 , 219.5021
