SK-0.5-900,
X,Y
0.0509 , 373.1235
0.0880 , 381.7386
0.1269 , 386.6988
0.1636 , 389.7446
0.2286 , 393.8237
0.2612 , 395.5653
0.2960 , 397.0544
0.0088 , 340.2490
0.0146 , 346.4730
0.1937 , 391.9087
0.3311 , 398.1328
0.3480 , 399.3776
0.3648 , 399.3776
0.3830 , 400.6224
0.3999 , 400.6224
0.4349 , 402.4896
0.4708 , 403.7344
0.5058 , 403.1120
0.5402 , 404.9793
0.5753 , 405.6017
0.6104 , 406.8465
0.6447 , 408.0913
0.6806 , 408.7137
0.7142 , 410.5809
0.7507 , 413.0705
0.7865 , 414.9378
0.8209 , 418.0498
0.8545 , 422.4066
0.8904 , 428.0083
0.9254 , 437.3444
0.9613 , 448.5477
0.9868 , 456.6390
0.9963 , 460.3734
