SK-2-700,
X,Y
0.0117 , 408.7137
0.0497 , 431.1203
0.0863 , 443.5685
0.1199 , 448.5477
0.1301 , 451.0373
0.1572 , 453.5270
0.1908 , 456.0166
0.1988 , 456.0166
0.2266 , 458.5062
0.2624 , 460.9959
0.2961 , 462.8631
0.3304 , 464.7303
0.3465 , 464.7303
0.3655 , 465.9751
0.3845 , 466.5975
0.3999 , 467.2199
0.4342 , 469.0871
0.4700 , 470.3320
0.5051 , 470.3320
0.5395 , 472.1992
0.5753 , 473.4440
0.6104 , 474.6888
0.6455 , 475.3112
0.6798 , 475.9336
0.7149 , 477.8008
0.7500 , 479.6680
0.7851 , 481.5353
0.8202 , 484.6473
0.8545 , 489.0041
0.8889 , 495.8506
0.9218 , 508.9212
0.9576 , 530.0830
0.9898 , 558.0913
