SK-3-700,
X,Y
0.0095 , 508.9212
0.0139 , 526.3485
0.0482 , 578.0083
0.0804 , 615.3527
0.0885 , 620.9544
0.1213 , 639.6266
0.1550 , 652.6971
0.1645 , 653.9419
0.1893 , 659.5436
0.2003 , 660.7884
0.2251 , 664.5228
0.2383 , 665.7676
0.2617 , 668.2573
0.2961 , 671.3693
0.3311 , 673.8589
0.3655 , 675.1037
0.3823 , 676.9710
0.3999 , 677.5934
0.4342 , 678.8382
0.4686 , 679.4606
0.5044 , 681.3278
0.5402 , 683.1950
0.5753 , 683.1950
0.6089 , 685.0622
0.6447 , 685.6846
0.6806 , 686.9295
0.7149 , 687.5519
0.7500 , 689.4191
0.7858 , 690.6639
0.8202 , 690.6639
0.8553 , 691.2863
0.8911 , 693.7759
0.9247 , 695.6432
0.9598 , 700.6224
0.9898 , 714.3154
