SK-0.5-700,
X,Y
0.0116 , 317.3761
0.0509 , 334.5949
0.0880 , 340.8967
0.1251 , 344.2151
0.1566 , 346.3210
0.1926 , 348.3551
0.2263 , 349.5517
0.2612 , 351.6542
0.2949 , 352.0644
0.4343 , 356.5771
0.4691 , 358.2864
0.5051 , 357.6483
0.5400 , 358.3548
0.5759 , 358.7650
0.6108 , 359.5627
0.6456 , 360.4060
0.6816 , 361.0898
0.7153 , 362.5940
0.7513 , 364.2349
0.7850 , 366.1494
0.8210 , 368.2006
0.8570 , 372.0296
0.8907 , 378.0464
0.9245 , 387.4820
0.9964 , 425.3611
0.4020 , 356.4315
0.3830 , 356.4315
0.3640 , 355.1867
0.3465 , 353.9419
0.3319 , 353.9419
0.9591 , 404.9793
