N,
X,Y
-0.0000 , 154.0650
0.0067 , 197.2222
0.0230 , 222.1037
0.0541 , 244.5630
0.0762 , 253.8110
0.1041 , 262.8388
0.1283 , 269.4444
0.1547 , 275.1694
0.1820 , 279.3530
0.2079 , 283.3164
0.2326 , 285.9587
0.2584 , 289.4817
0.2837 , 292.1240
0.3090 , 294.3259
0.3338 , 296.7480
0.3585 , 299.1701
0.3843 , 301.5921
0.4096 , 304.0142
0.4354 , 306.2161
0.4591 , 307.5373
0.4849 , 310.1795
0.5081 , 311.5007
0.5350 , 314.3631
0.5576 , 316.3449
0.5840 , 318.3266
0.6087 , 320.0881
0.6335 , 322.2900
0.6583 , 324.7121
0.6835 , 327.5745
0.7083 , 330.4370
0.7336 , 332.4187
0.7589 , 335.5014
0.7821 , 338.3638
0.8058 , 343.8686
0.8305 , 348.4925
0.8553 , 352.6762
0.8800 , 358.4011
0.9011 , 366.5481
0.9264 , 375.3557
0.9390 , 382.4018
0.9506 , 389.8882
0.9616 , 397.8150
0.9743 , 405.9621
0.9864 , 416.0908
