NFC,
X,Y
0.9844 , 304.4546
0.9781 , 295.6470
0.9671 , 289.0413
0.9529 , 282.8760
0.9418 , 276.4905
0.9281 , 271.2060
0.9060 , 264.8205
0.8812 , 260.4167
0.8560 , 256.2331
0.8344 , 251.8293
0.8091 , 248.9668
0.7838 , 246.3245
0.7590 , 244.5630
0.7332 , 243.0217
0.7085 , 239.9390
0.6863 , 238.8381
0.6610 , 237.0766
0.6363 , 235.3150
0.6115 , 233.7737
0.5857 , 232.4526
0.5604 , 231.1314
0.5357 , 229.3699
0.5104 , 228.0488
0.4856 , 226.5075
0.4603 , 225.1863
0.4356 , 224.3056
0.4108 , 223.2046
0.3850 , 222.1037
0.3586 , 220.1220
0.3339 , 218.5806
0.3097 , 217.0393
0.2844 , 214.3970
0.2591 , 212.1951
0.2327 , 211.0942
0.2075 , 208.2317
0.1837 , 205.3692
0.1579 , 202.5068
0.1332 , 198.9837
0.1074 , 194.5799
0.0795 , 188.4146
0.0500 , 180.0474
0.0231 , 165.7351
0.0058 , 147.4593
