APM-23,
X,Y
0.0261 , 229.8066
0.0483 , 240.0967
0.0700 , 244.5759
0.0918 , 247.4814
0.1136 , 249.1762
0.1354 , 249.7815
0.1571 , 250.9922
0.1789 , 251.8799
0.2007 , 252.6466
0.2225 , 252.8081
0.2442 , 255.4714
0.2660 , 254.7450
0.2878 , 256.4399
0.3095 , 255.1082
0.3313 , 256.4399
0.3531 , 255.9556
0.3749 , 255.4310
0.3966 , 256.4399
0.4184 , 255.2293
0.4402 , 257.1662
0.4620 , 259.1032
0.4837 , 259.1032
0.5055 , 258.1347
0.5273 , 258.4979
0.5491 , 259.1032
0.5708 , 259.1032
0.5926 , 259.1032
0.6144 , 257.6101
0.6362 , 259.1032
0.6579 , 259.1032
0.6797 , 259.1032
0.7015 , 258.7400
0.7232 , 258.1347
0.7450 , 259.3453
0.7668 , 261.7665
0.7886 , 261.7665
0.8103 , 260.0717
0.8321 , 261.2823
0.8539 , 261.7665
0.8757 , 261.7665
0.8974 , 261.7665
0.9192 , 259.5067
0.9410 , 261.7665
0.9628 , 261.7665
0.9835 , 261.7665
