APM-41,
X,Y
0.0285 , 328.5919
0.0502 , 351.8355
0.0720 , 363.8205
0.0938 , 369.8493
0.1156 , 374.7160
0.1373 , 377.8635
0.1591 , 379.9216
0.1809 , 381.4954
0.2027 , 384.5219
0.2244 , 384.8850
0.2462 , 386.7010
0.2680 , 387.2256
0.2898 , 388.6379
0.3115 , 388.5572
0.3333 , 390.9381
0.3551 , 390.2117
0.3768 , 392.1487
0.3986 , 393.2382
0.4204 , 391.9873
0.4422 , 393.6014
0.4639 , 393.6014
0.4857 , 393.7225
0.5075 , 393.2382
0.5293 , 394.9331
0.5510 , 396.0226
0.5728 , 396.2647
0.5946 , 396.2647
0.6164 , 394.3681
0.6381 , 396.2647
0.6599 , 396.2647
0.6817 , 396.7490
0.7034 , 397.8385
0.7252 , 397.9192
0.7470 , 398.9281
0.7688 , 398.9281
0.7905 , 398.9281
0.8123 , 397.2332
0.8341 , 398.9281
0.8559 , 398.9281
0.8776 , 398.9281
0.8994 , 398.9684
0.9212 , 399.4123
0.9430 , 401.1072
0.9647 , 401.5914
0.9845 , 401.2955
