C500-90,
X,Y
0.9909 , 213.2463
0.9496 , 210.6343
0.8998 , 208.3955
0.8501 , 206.5299
0.7998 , 205.5970
0.7524 , 203.3582
0.7027 , 202.6119
0.6543 , 201.1194
0.6055 , 200.0000
0.5548 , 197.9478
0.5022 , 197.3881
0.4552 , 196.8284
0.4026 , 195.8955
0.3581 , 194.5896
0.3353 , 194.5896
0.3088 , 193.6567
0.2884 , 193.6567
0.2552 , 192.9104
0.2017 , 191.2313
0.1510 , 188.8060
0.1012 , 186.3806
0.0893 , 185.8209
0.0794 , 185.0746
0.0680 , 183.9552
0.0595 , 183.0224
0.0495 , 181.7164
0.0395 , 179.4776
0.0301 , 177.0522
0.0196 , 174.0672
