AC1000-120,
X,Y
0.9902 , 216.8628
0.9509 , 213.0462
0.9019 , 209.5955
0.8524 , 207.2375
0.8015 , 204.8796
0.7529 , 203.2497
0.7025 , 201.2560
0.6521 , 199.4444
0.6035 , 197.8144
0.5512 , 196.5494
0.4994 , 194.9201
0.4513 , 193.8363
0.3949 , 193.1183
0.3496 , 190.7594
0.3394 , 191.8538
0.3153 , 190.0373
0.3052 , 190.5855
0.2695 , 188.2249
0.2529 , 188.7741
0.2150 , 186.0498
0.2029 , 186.7803
0.1516 , 183.6943
0.1026 , 179.6974
0.0877 , 178.2434
0.0803 , 176.4239
0.0692 , 175.1514
0.0512 , 171.8771
0.0396 , 169.1480
0.0304 , 166.2364
0.0197 , 161.3221
0.0100 , 153.1301
0.0067 , 145.8474
0.0049 , 143.1165
0.0026 , 137.6544
