AC950-90,
X,Y
0.9895 , 254.6811
0.9500 , 251.1055
0.9009 , 247.7138
0.8504 , 244.8838
0.8037 , 242.8048
0.7517 , 240.5365
0.7012 , 237.8938
0.6536 , 236.0019
0.6031 , 234.1089
0.5540 , 232.2165
0.5006 , 230.5098
0.4525 , 228.9925
0.3996 , 227.2860
0.3425 , 225.7654
0.3139 , 224.6302
0.3029 , 224.2513
0.2672 , 223.1135
0.2505 , 221.9828
0.2128 , 220.6568
0.2024 , 220.0907
0.1519 , 217.0732
0.1018 , 212.7441
0.0913 , 211.4284
0.0742 , 208.4234
0.0603 , 206.3568
0.0513 , 204.4793
0.0403 , 201.1019
0.0308 , 197.5376
0.0207 , 192.4739
0.0155 , 188.3490
0.0097 , 183.2868
0.0073 , 177.8512
0.0049 , 174.1021
0.0025 , 167.9168
