CACuO025,
X,Y
0.9994 , 298.9986
0.9226 , 283.9771
0.8252 , 277.8970
0.7243 , 274.3205
0.6270 , 270.7439
0.5273 , 265.7368
0.4282 , 263.2332
0.3736 , 262.1602
0.3249 , 259.2990
0.3003 , 259.2990
0.2235 , 254.6495
0.1748 , 252.1459
0.1361 , 248.2117
0.1279 , 247.1388
0.1179 , 247.1388
0.1056 , 244.6352
0.0915 , 243.2046
0.0768 , 241.0587
0.0592 , 236.0515
0.0387 , 228.5408
0.0223 , 217.4535
0.0106 , 207.4392
0.0065 , 194.2060
0.0023 , 179.1845
0.0023 , 157.0100
0.0012 , 138.4120
0.0018 , 124.8212
