SG-CN1,
X,Y
0.0091 , 224.1595
0.0309 , 245.2306
0.0618 , 259.1869
0.0794 , 264.3862
0.1005 , 270.1329
0.1202 , 274.7850
0.1405 , 279.7107
0.1602 , 283.2682
0.1806 , 287.0993
0.1996 , 291.2041
0.2495 , 299.4136
0.2825 , 304.8866
0.3022 , 307.3495
0.3345 , 313.0962
0.3528 , 315.0117
0.3999 , 321.8530
0.4498 , 328.1470
0.4989 , 333.8937
0.5502 , 339.0930
0.5994 , 344.2924
0.6500 , 349.2181
0.6999 , 354.1439
0.7505 , 358.7959
0.7997 , 364.8163
0.8208 , 367.5528
0.8503 , 372.2048
0.8763 , 376.8569
0.9002 , 382.3299
0.9255 , 389.1712
0.9508 , 397.3808
0.9733 , 412.9789
0.9817 , 422.2830
0.9916 , 439.5231
0.9951 , 458.6787
