FW400-KOH6003,
X,Y
0.9887 , 314.4413
0.9822 , 308.0631
0.9763 , 301.0770
0.9709 , 294.0908
0.9622 , 287.4094
0.9552 , 280.4237
0.9471 , 274.6536
0.9380 , 268.5800
0.9277 , 263.4182
0.9159 , 257.6492
0.9040 , 254.3108
0.8916 , 249.7573
0.8759 , 245.5086
0.8592 , 243.0831
0.8414 , 239.7465
0.8220 , 237.0180
0.8004 , 234.8978
0.7713 , 231.8685
0.7406 , 229.1434
0.7001 , 226.4214
0.6494 , 224.0062
0.5992 , 221.8947
0.5502 , 220.3905
0.5000 , 218.8867
0.4498 , 217.0790
0.3986 , 215.5755
0.3506 , 214.3748
0.3004 , 213.1747
0.2487 , 211.3675
0.2006 , 208.9516
0.1818 , 207.4382
0.1607 , 205.6217
0.1424 , 203.5005
0.1197 , 200.7730
0.1003 , 197.7407
0.0787 , 194.4053
0.0636 , 189.8526
0.0291 , 175.5835
0.0113 , 161.6133
0.0065 , 154.6269
0.0038 , 147.6399
0.0016 , 139.4374
0.0005 , 130.3231
0.0000 , 120.2973
0.0000 , 111.1827
-0.0005 , 100.8530
0.0000 , 91.1306
0.0000 , 81.4084
-0.0005 , 70.7749
0.0000 , 60.4448
-0.0005 , 50.4190
-0.0011 , 39.7854
-0.0011 , 30.3670
-0.0005 , 20.6446
-0.0005 , 9.7071
