AC2-1h,
X,Y
0.0091 , 381.2500
0.0285 , 411.2500
0.0410 , 421.8750
0.0484 , 425.0000
0.0756 , 434.3750
0.0861 , 436.8750
0.1012 , 440.6250
0.1494 , 446.2500
0.2217 , 451.2500
0.2704 , 453.1250
0.2814 , 453.1250
0.2929 , 455.0000
0.3280 , 456.2500
0.3976 , 456.8750
0.4510 , 458.7500
0.5023 , 458.1250
0.5557 , 459.3750
0.6081 , 459.3750
0.6447 , 460.0000
0.6782 , 460.0000
0.7133 , 459.3750
0.7473 , 459.3750
0.7829 , 459.3750
0.8180 , 459.3750
0.8536 , 459.3750
0.8871 , 460.0000
0.9232 , 461.2500
0.9578 , 461.2500
0.9756 , 463.1250
0.9882 , 463.7500
