AC2-1h,
X,Y
0.9864 , 462.1574
0.9740 , 461.3201
0.9575 , 460.7595
0.9219 , 460.0547
0.8873 , 459.7671
0.8532 , 459.8967
0.8176 , 459.4698
0.7820 , 459.4599
0.7485 , 459.3116
0.7118 , 459.3014
0.6778 , 459.0140
0.6427 , 458.7263
0.6076 , 458.7165
0.5545 , 458.2848
0.5023 , 457.8533
0.4502 , 457.1439
0.3976 , 456.5733
0.3284 , 455.0253
0.2897 , 453.4857
0.2794 , 453.4828
0.2706 , 452.9244
0.2206 , 450.5478
0.1494 , 445.5245
0.1199 , 441.9027
0.1008 , 438.9787
0.0848 , 435.9166
0.0750 , 433.6901
0.0471 , 423.8144
0.0389 , 420.1984
0.0275 , 411.3002
0.0197 , 400.5962
0.0083 , 382.9419
