HKC-600-2,
X,Y
0.9897 , 246.7938
0.9742 , 244.7140
0.9489 , 240.5546
0.9053 , 237.0884
0.8568 , 235.7019
0.8077 , 235.0087
0.7592 , 233.6222
0.7079 , 232.9289
0.6580 , 231.5425
0.6088 , 231.5425
0.5582 , 230.1560
0.5083 , 230.1560
0.4591 , 230.1560
0.4071 , 228.7695
0.3628 , 228.0763
0.3150 , 228.0763
0.2918 , 228.7695
0.2686 , 227.3830
0.2441 , 228.0763
0.2173 , 224.6101
0.1942 , 224.6101
0.1696 , 225.3033
0.1464 , 221.8371
0.1225 , 220.4506
0.0972 , 219.0641
0.0824 , 217.6776
0.0508 , 213.5182
0.0381 , 210.7452
0.0262 , 207.9723
0.0156 , 200.3466
