HKC-800-2,
X,Y
0.9900 , 649.5667
0.9767 , 640.5546
0.9591 , 631.5425
0.9134 , 616.9844
0.8670 , 607.2790
0.8171 , 598.9601
0.7714 , 591.3345
0.7194 , 585.7886
0.6702 , 580.2426
0.6189 , 573.3102
0.5676 , 566.3778
0.5142 , 556.6724
0.4629 , 544.1941
0.4081 , 529.6360
0.3490 , 506.0659
0.3040 , 487.3484
0.2773 , 476.2565
0.2506 , 461.6984
0.2232 , 449.9133
0.1993 , 436.7418
0.1739 , 422.1837
0.1507 , 406.9324
0.1233 , 386.1352
0.0980 , 366.7244
0.0713 , 345.2340
0.0481 , 324.4367
0.0361 , 311.2652
0.0256 , 296.7071
0.0150 , 277.9896
0.0051 , 249.5667
0.0016 , 232.2357
0.0002 , 219.0641
-0.0005 , 194.1075
0.0002 , 173.3102
-0.0013 , 139.3414
0.0001 , 111.6118
-0.0013 , 81.8024
-0.0014 , 61.0052
-0.0014 , 41.5945
-0.0007 , 20.1040
