MCS900-75,
X,Y
0.9969 , 874.3809
0.9816 , 851.4528
0.9540 , 831.4314
0.9253 , 826.4888
0.9002 , 822.9714
0.8763 , 818.7327
0.8494 , 814.5027
0.8256 , 810.2640
0.8011 , 806.0270
0.7760 , 802.5096
0.7497 , 798.9958
0.7265 , 794.0374
0.7032 , 790.5148
0.6775 , 786.9992
0.6519 , 781.3299
0.6268 , 778.5304
0.6017 , 774.2952
0.5778 , 768.6207
0.5534 , 765.1016
0.5271 , 760.1520
0.5020 , 755.1989
0.4775 , 749.5261
0.4518 , 744.5748
0.4268 , 740.3395
0.4017 , 735.3864
0.3772 , 730.4316
0.3509 , 726.1998
0.3258 , 719.8110
0.3007 , 713.4221
0.2793 , 707.0227
0.2536 , 697.7641
0.2273 , 687.7894
0.2022 , 675.6576
0.1772 , 660.6542
0.1502 , 644.2204
0.1264 , 624.9063
0.1019 , 601.2867
0.0921 , 589.8288
0.0817 , 578.3727
0.0756 , 571.9294
0.0609 , 551.1532
0.0511 , 535.3881
0.0407 , 517.4711
0.0303 , 497.4005
0.0199 , 473.0227
0.0101 , 440.7464
0.0088 , 424.9567
0.0064 , 412.0420
0.0064 , 397.6845
0.0039 , 389.0771
0.0015 , 372.5730
0.0008 , 343.8598
0.0026 , 324.4719
0.0026 , 305.8072
0.0014 , 291.4533
-0.0004 , 264.1793
0.0008 , 226.1285
-0.0011 , 208.1869
-0.0011 , 186.6507
0.0001 , 167.9825
-0.0011 , 152.1928
-0.0005 , 135.6799
0.0001 , 103.3738
-0.0012 , 80.4054
0.0007 , 64.6069
-0.0006 , 52.4065
