MS-900-30,
X,Y
0.9936 , 596.7117
0.9809 , 558.4168
0.9499 , 547.4380
0.9244 , 541.9350
0.8995 , 536.4327
0.8751 , 532.2982
0.8502 , 527.4794
0.8253 , 523.3442
0.7998 , 519.2083
0.7759 , 516.4415
0.7510 , 512.3063
0.7256 , 509.5374
0.7007 , 504.7186
0.6757 , 501.9504
0.6508 , 498.4987
0.6259 , 495.0470
0.6005 , 490.9111
0.5760 , 488.1436
0.5511 , 485.3755
0.5257 , 482.6066
0.5008 , 479.1549
0.4764 , 475.7039
0.4514 , 472.9357
0.4260 , 470.1668
0.4006 , 466.7144
0.3757 , 462.5792
0.3507 , 459.8110
0.3258 , 456.3593
0.3009 , 452.9076
0.2760 , 448.7724
0.2500 , 444.6357
0.2246 , 441.1833
0.2002 , 437.0488
0.1748 , 432.2294
0.1493 , 426.0428
0.1269 , 418.4935
0.0980 , 408.8845
0.0903 , 402.0388
0.0812 , 398.6086
0.0756 , 396.5504
0.0695 , 393.1244
0.0583 , 389.0079
0.0491 , 381.4766
0.0405 , 375.9966
0.0298 , 364.3621
0.0242 , 358.2027
0.0181 , 351.3591
0.0100 , 330.8421
0.0070 , 316.4839
0.0034 , 302.8085
0.0009 , 288.4510
