MC900-60,
X,Y
0.9959 , 497.5083
0.9819 , 470.9302
0.9509 , 461.7940
0.9251 , 457.6412
0.8997 , 453.4884
0.8760 , 450.1661
0.8512 , 446.0133
0.8258 , 443.5216
0.8000 , 440.1993
0.7767 , 436.8771
0.7514 , 433.5548
0.7261 , 431.0631
0.7023 , 427.7409
0.6775 , 425.2492
0.6512 , 421.9269
0.6264 , 419.4352
0.6026 , 416.9435
0.5757 , 414.4518
0.5514 , 412.7907
0.5266 , 409.4684
0.5028 , 406.9767
0.4770 , 404.4850
0.4517 , 401.9934
0.4269 , 398.6711
0.4016 , 396.1794
0.3767 , 393.6877
0.3519 , 392.0266
0.3276 , 387.8738
0.3018 , 384.5515
0.2765 , 382.0598
0.2522 , 378.7375
0.2258 , 375.4153
0.2016 , 370.4319
0.1762 , 366.2791
0.1504 , 360.4651
0.1256 , 352.9900
0.1018 , 348.0066
0.0915 , 344.6844
0.0817 , 341.3621
0.0708 , 336.3787
0.0610 , 332.2259
0.0506 , 326.4120
0.0398 , 320.5980
0.0305 , 313.9535
0.0258 , 308.1395
0.0202 , 303.1561
0.0114 , 285.7143
