MCS900-30,
X,Y
0.9948 , 550.6250
0.9820 , 540.6117
0.9508 , 532.0868
0.9263 , 527.1319
0.9019 , 524.3307
0.8762 , 520.8150
0.8517 , 518.7317
0.8285 , 515.2090
0.8015 , 512.4148
0.7777 , 510.3297
0.7520 , 508.2498
0.7281 , 506.1647
0.7037 , 504.0813
0.6774 , 502.7211
0.6529 , 500.6377
0.6278 , 499.2740
0.6028 , 496.4745
0.5777 , 495.8286
0.5526 , 493.7470
0.5269 , 491.6672
0.5031 , 489.5820
0.4780 , 488.2183
0.4517 , 486.1402
0.4272 , 484.7747
0.4034 , 481.9717
0.3771 , 479.8936
0.3532 , 478.5264
0.3269 , 475.7304
0.3024 , 473.6470
0.2774 , 470.8475
0.2529 , 468.7641
0.2272 , 464.5307
0.2021 , 461.0133
0.1758 , 456.7816
0.1507 , 451.8285
0.1238 , 445.4449
0.1024 , 437.6097
0.0914 , 433.3341
0.0828 , 429.7693
0.0773 , 426.9136
0.0700 , 423.3453
0.0596 , 416.1965
0.0498 , 409.0458
0.0412 , 401.8917
0.0296 , 389.7212
0.0241 , 381.1225
0.0198 , 373.2382
0.0094 , 352.4497
