WN800,
X,Y
0.9839 , 333.8884
0.9779 , 328.0600
0.9672 , 317.5687
0.9648 , 311.1574
0.9422 , 298.0433
0.9082 , 291.6320
0.8737 , 288.1349
0.8403 , 284.9292
0.8063 , 282.8893
0.7735 , 281.4321
0.7402 , 279.6836
0.7062 , 278.2265
0.6722 , 276.7694
0.6389 , 275.0208
0.6055 , 273.2723
0.5721 , 272.6894
0.5387 , 270.9409
0.5054 , 268.9009
0.4708 , 267.1524
0.4374 , 265.4038
0.4041 , 263.0724
0.3719 , 260.7410
0.3373 , 258.4097
0.3027 , 254.9126
0.2694 , 251.4155
0.2366 , 246.7527
0.2026 , 242.6728
0.1347 , 229.5587
0.1013 , 221.3988
0.0685 , 210.9076
0.0364 , 195.7535
0.0149 , 179.4338
