4M,
X,Y
0.9915 , 197.5853
0.9801 , 195.2097
0.9695 , 193.8231
0.9588 , 192.2387
0.9475 , 190.4564
0.8985 , 185.8976
0.8495 , 182.3278
0.7999 , 179.3512
0.7495 , 176.5723
0.6998 , 173.9913
0.6487 , 171.4099
0.5976 , 169.0264
0.5493 , 167.4346
0.4996 , 165.6447
0.4493 , 163.6569
0.3974 , 162.0644
0.3506 , 160.6706
0.2981 , 158.2868
0.2740 , 156.8975
0.2484 , 156.4969
0.2229 , 154.9096
0.1980 , 154.1135
0.1725 , 152.3284
0.1483 , 151.5325
0.1221 , 149.7472
0.0987 , 148.7537
0.0873 , 146.9714
0.0752 , 145.7823
0.0625 , 144.7908
0.0497 , 143.0082
0.0376 , 141.2258
0.0291 , 138.8507
0.0192 , 135.8820
