unmodified,
X,Y
0.9915 , 222.9018
0.9808 , 219.5373
0.9688 , 217.5571
0.9581 , 215.7749
0.9475 , 214.5861
0.8992 , 209.6320
0.8495 , 205.6664
0.7999 , 202.2943
0.7495 , 199.1198
0.7005 , 196.1433
0.6508 , 193.7601
0.5990 , 190.5852
0.5507 , 188.5979
0.5004 , 186.4123
0.4500 , 184.0289
0.3996 , 182.0411
0.3478 , 179.6574
0.3002 , 177.6701
0.2740 , 176.2804
0.2491 , 174.8910
0.2229 , 174.0947
0.1987 , 172.7054
0.1739 , 171.3160
0.1519 , 170.7183
0.1221 , 168.1412
0.0987 , 166.5543
0.0802 , 164.9684
0.0703 , 163.3842
0.0546 , 161.7988
0.0397 , 159.4224
0.0284 , 157.0468
0.0199 , 154.0783
0.0099 , 148.3406
0.0050 , 144.3839
0.0021 , 140.0321
