50stC,
X,Y
0.9971 , 547.3806
0.9849 , 527.4268
0.9611 , 516.6410
0.9367 , 506.9337
0.9109 , 496.1479
0.8857 , 486.9800
0.8620 , 479.9692
0.8375 , 472.9584
0.8110 , 464.8690
0.7873 , 457.8582
0.7615 , 452.4653
0.7397 , 447.6117
0.7119 , 443.2974
0.6875 , 438.4438
0.6637 , 432.5116
0.6372 , 428.7365
0.6114 , 424.4222
0.5876 , 420.1079
0.5618 , 417.4114
0.5367 , 412.0185
0.5109 , 408.7827
0.4838 , 403.9291
0.4620 , 397.9969
0.4369 , 394.7612
0.4118 , 389.9076
0.3867 , 383.9753
0.3622 , 379.1217
0.3378 , 375.3467
0.3120 , 369.4145
0.2868 , 364.0216
0.2617 , 359.1680
0.2373 , 354.3143
0.2122 , 349.4607
0.1870 , 344.6071
0.1619 , 339.2142
0.1368 , 333.2820
0.1130 , 327.3498
0.1035 , 325.1926
0.0947 , 321.9569
0.0831 , 318.1818
0.0723 , 313.8675
0.0621 , 309.5532
0.0519 , 304.1602
0.0424 , 296.6102
0.0349 , 292.8351
0.0247 , 283.6672
0.0104 , 263.1741
0.0064 , 254.5455
0.0029 , 238.3667
0.0016 , 229.1988
