5stC,
X,Y
0.9850 , 588.3667
0.9612 , 578.6595
0.9367 , 570.5701
0.9123 , 564.0986
0.8872 , 558.7057
0.8627 , 552.2342
0.8376 , 547.3806
0.8118 , 541.4484
0.7874 , 536.5948
0.7629 , 531.7411
0.7378 , 527.4268
0.7127 , 523.1125
0.6882 , 518.2589
0.6631 , 513.9445
0.6380 , 509.0909
0.6135 , 505.3159
0.5877 , 501.0015
0.5626 , 497.2265
0.5388 , 492.9122
0.5130 , 488.5978
0.4879 , 484.8228
0.4628 , 480.5085
0.4377 , 476.7334
0.4132 , 472.4191
0.3888 , 468.6441
0.3630 , 464.8690
0.3379 , 460.0154
0.3127 , 456.7797
0.2876 , 452.4653
0.2632 , 448.6903
0.2380 , 443.8367
0.2129 , 440.0616
0.1885 , 435.7473
0.1627 , 431.4330
0.1375 , 424.9615
0.1138 , 414.7149
0.1029 , 411.4792
0.0927 , 409.8613
0.0336 , 387.2111
0.0234 , 376.4253
0.0098 , 350.5393
