PC1,
X,Y
0.0090 , 120.0371
0.0311 , 132.2820
0.0651 , 141.1874
0.0796 , 144.5269
0.0990 , 148.4230
0.1197 , 151.2059
0.1398 , 154.5455
0.1606 , 157.8850
0.1799 , 160.6679
0.2007 , 164.0074
0.2498 , 170.1299
0.3010 , 176.8089
0.3516 , 182.3748
0.3993 , 187.9406
0.4491 , 195.1763
0.4997 , 201.2987
0.5488 , 208.5343
0.5993 , 215.7699
0.6491 , 224.1187
0.6990 , 231.9109
0.7488 , 241.3729
0.7993 , 250.2783
0.8201 , 254.1744
0.8505 , 260.2968
0.8747 , 266.4193
0.8997 , 273.0983
0.9239 , 282.0037
0.9495 , 292.5788
0.9730 , 309.8330
0.9813 , 319.2950
0.9924 , 334.3228
