PC2,
X,Y
0.0097 , 189.6104
0.0291 , 208.5343
0.0637 , 230.7978
0.0789 , 238.5900
0.0997 , 247.4954
0.1197 , 253.6178
0.1405 , 259.7403
0.1599 , 265.3061
0.1806 , 270.3154
0.2007 , 274.2115
0.2491 , 281.4471
0.3010 , 287.5696
0.3516 , 293.1354
0.4000 , 296.4750
0.4505 , 299.8145
0.5003 , 302.0408
0.5495 , 303.7106
0.6000 , 305.3803
0.6498 , 306.4935
0.7003 , 307.6067
0.7509 , 308.7199
0.8007 , 310.9462
0.8201 , 312.0594
0.8505 , 313.7291
0.8754 , 315.3989
0.9003 , 318.1818
0.9260 , 321.5213
0.9509 , 325.9740
0.9806 , 335.9926
0.9875 , 347.6809
0.9924 , 358.2560
