RK-500,
X,Y
0.9943 , 88.4008
0.9820 , 83.9856
0.9574 , 81.6890
0.9382 , 80.1590
0.9184 , 79.0136
0.8987 , 76.9073
0.8687 , 73.2675
0.8458 , 69.6251
0.8180 , 65.0237
0.7961 , 62.7261
0.7469 , 60.8232
0.6978 , 59.6891
0.6476 , 59.1319
0.5973 , 58.7669
0.5477 , 58.4016
0.4980 , 58.0364
0.4483 , 58.0555
0.3981 , 57.6904
0.3484 , 57.1330
0.2987 , 57.1521
0.2501 , 56.7864
0.1999 , 55.8449
0.1801 , 55.8525
0.1604 , 55.0914
0.1401 , 54.3305
0.1203 , 53.7616
0.1000 , 53.1929
0.0882 , 52.6209
0.0786 , 52.2402
0.0706 , 51.0903
0.0610 , 50.3253
0.0492 , 49.3690
0.0396 , 48.0275
0.0284 , 45.9179
0.0215 , 43.8067
0.0108 , 39.5831
0.0065 , 35.9335
0.0043 , 31.5143
0.0038 , 26.9025
0.0022 , 20.9458
