MCAC-3-1,
X,Y
0.9886 , 271.4249
0.9886 , 262.8718
0.9886 , 254.3187
0.9886 , 245.7656
0.9886 , 235.5018
0.9887 , 226.0934
0.9860 , 213.2653
0.9866 , 202.1459
0.9871 , 183.6139
0.9845 , 171.3559
0.9830 , 163.6590
0.9793 , 151.9719
0.9719 , 141.9975
0.9583 , 130.3160
0.9435 , 126.0479
0.9178 , 120.6456
0.8836 , 115.2481
0.8547 , 114.6944
0.8378 , 113.5636
0.8063 , 112.1561
0.7547 , 111.9004
0.7084 , 111.9268
0.6574 , 111.1006
0.6222 , 110.2653
0.5643 , 109.4430
0.5080 , 109.4751
0.4554 , 108.6498
0.4060 , 108.3929
0.3581 , 107.5649
0.3065 , 107.0241
0.2723 , 106.7585
0.2471 , 104.7771
0.2024 , 103.9473
0.1698 , 102.8255
0.1493 , 101.9819
0.1145 , 99.4358
0.0804 , 97.7446
0.0483 , 93.2013
0.0246 , 85.2319
0.0094 , 74.4066
0.0062 , 68.1362
0.0036 , 62.4356
0.0041 , 45.8993
0.0036 , 26.2274
