D-AC,
X,Y
0.0701 , 169.2988
0.4206 , 206.5124
0.5519 , 217.8270
0.6061 , 223.9079
0.6549 , 229.8714
0.7320 , 240.7541
0.7848 , 250.3399
0.9111 , 279.0044
0.9460 , 293.9621
0.5127 , 214.4980
0.5787 , 220.9523
0.6396 , 227.3974
0.6980 , 235.6478
0.7589 , 244.8079
0.8350 , 258.5203
0.8147 , 254.8637
0.8782 , 268.5532
0.9340 , 286.7538
0.9797 , 312.1759
1.0000 , 355.6515
0.0102 , 143.0002
0.0025 , 106.7873
0.0025 , 70.5882
0.0406 , 161.1549
0.1041 , 174.8444
0.1472 , 180.3523
0.2056 , 184.9829
0.2614 , 191.4188
0.3249 , 196.9635
0.3883 , 202.5082
0.4518 , 208.9579
