W-AC,
X,Y
-0.0003 , 38.4873
0.0014 , 60.5279
0.0000 , 128.2901
-0.0010 , 150.3289
0.0007 , 171.7116
0.0005 , 195.0667
0.0050 , 215.1355
0.0178 , 232.2492
0.0399 , 243.7769
0.0630 , 251.0289
0.0768 , 253.0117
0.0943 , 255.3258
0.1054 , 255.6621
0.1489 , 258.6512
0.2061 , 261.9783
0.2690 , 263.3355
0.3336 , 266.9964
0.3974 , 266.7094
0.4593 , 267.7370
0.5240 , 269.4243
0.5905 , 270.7839
0.6552 , 272.8001
0.7171 , 273.8277
0.7790 , 275.5131
0.8410 , 278.5144
0.9019 , 280.1993
0.9648 , 283.5301
0.9989 , 296.0525
