ACFC-700,
X,Y
0.9984 , 18.4228
0.9844 , 18.0915
0.9764 , 17.6938
0.9569 , 17.6276
0.9285 , 17.4950
0.9170 , 17.0974
0.8975 , 17.0311
0.8691 , 16.8986
0.8571 , 16.6998
0.8292 , 16.5010
0.8167 , 16.3685
0.7972 , 16.2359
0.7693 , 16.1696
0.7573 , 15.9708
0.7294 , 15.9046
0.7204 , 15.7720
0.7099 , 15.6395
0.6979 , 15.5732
0.6789 , 15.3744
0.6595 , 15.3082
0.6385 , 15.1756
0.6186 , 15.1756
0.5986 , 15.0431
0.5781 , 14.9105
0.5602 , 14.7780
0.5387 , 14.7780
0.5183 , 14.6455
0.4988 , 14.5792
0.4793 , 14.5129
0.4584 , 14.3804
0.4394 , 14.3141
0.4199 , 14.1816
0.4000 , 14.0490
0.3780 , 13.8502
0.3650 , 13.6514
0.3496 , 13.5852
0.3351 , 13.4526
0.3211 , 13.3863
0.3057 , 13.3201
0.2917 , 13.1213
0.2762 , 12.9887
0.2617 , 12.7899
0.2463 , 12.5911
0.2363 , 12.5249
0.2243 , 12.3260
0.2113 , 12.1272
0.2008 , 12.0610
0.1904 , 11.9947
0.1779 , 11.8622
0.1649 , 11.7296
0.1519 , 11.5308
0.1409 , 11.3983
0.1310 , 11.1332
0.1185 , 10.9344
0.1085 , 10.6693
0.0915 , 10.5368
0.0801 , 10.6030
0.0706 , 10.1392
0.0581 , 10.0066
0.0386 , 9.6753
0.0291 , 8.8138
0.0186 , 8.1511
0.0091 , 7.5547
0.0056 , 6.7594
