NaOH-2-1,
X,Y
0.9968 , 333.6713
0.9812 , 332.8023
0.9656 , 331.0644
0.9163 , 329.3266
0.8663 , 328.4576
0.8164 , 328.4576
0.7660 , 329.3266
0.7160 , 327.5887
0.6661 , 327.5887
0.6162 , 326.7198
0.5663 , 328.4576
0.5153 , 326.7198
0.4659 , 325.8508
0.4155 , 324.9819
0.3645 , 326.7198
0.3145 , 324.1130
0.2641 , 322.3751
0.2131 , 318.8993
0.1643 , 318.0304
0.1379 , 316.2925
0.1111 , 313.6857
0.0800 , 309.3411
0.0590 , 304.9964
0.0424 , 301.5206
0.0295 , 294.5692
0.0193 , 285.8798
0.0102 , 275.4526
0.0064 , 261.5496
