CVD1,
X,Y
0.9903 , 172.9040
0.9743 , 173.1220
0.9638 , 173.1242
0.9474 , 172.9132
0.9351 , 172.4868
0.9209 , 172.4899
0.9013 , 172.4941
0.8853 , 172.4975
0.8675 , 172.0723
0.8465 , 171.8623
0.8309 , 171.6511
0.7903 , 171.2308
0.7707 , 170.8059
0.7309 , 170.8144
0.6720 , 170.3980
0.6017 , 169.7696
0.5309 , 168.7121
0.4409 , 167.6588
0.3195 , 165.7542
0.1797 , 162.7809
0.1198 , 160.6485
0.0943 , 159.5814
0.0741 , 157.6550
0.0353 , 152.5148
0.0133 , 145.0113
0.0073 , 140.2931
0.0022 , 135.7893
0.0003 , 130.2121
