800stC,
X,Y
0.0004 , 49.8252
0.0084 , 69.4854
0.0373 , 78.6488
0.0722 , 85.7154
0.1118 , 89.2798
0.1515 , 92.8442
0.1930 , 95.7094
0.2340 , 99.2758
0.2778 , 100.0390
0.3198 , 103.6067
0.3631 , 104.3693
0.4041 , 107.2339
0.4456 , 107.9939
0.4909 , 109.4609
0.5319 , 111.6237
0.5762 , 113.0894
0.6163 , 115.2509
0.6592 , 116.7146
0.6983 , 119.5766
0.7393 , 121.7394
0.7771 , 126.0029
0.8130 , 128.1586
0.8494 , 134.5254
0.8839 , 139.4861
0.9142 , 146.5462
0.9417 , 155.7076
0.9598 , 169.0664
0.9733 , 183.1205
0.9841 , 203.4864
0.9976 , 218.2422
0.9990 , 242.1038
0.9994 , 264.5606
