ACP1,
X,Y
0.9939 , 212.2314
0.9747 , 202.9752
0.9498 , 202.3140
0.9364 , 202.9752
0.9108 , 203.6364
0.8865 , 203.6364
0.8628 , 203.6364
0.8545 , 200.3306
0.8360 , 202.3140
0.8111 , 202.9752
0.8066 , 208.2645
0.7874 , 202.3140
0.7625 , 201.6529
0.7503 , 205.6198
0.7356 , 202.3140
0.7132 , 200.9917
0.7049 , 204.2975
0.6877 , 199.6694
0.6621 , 199.0083
0.6487 , 199.6694
0.6371 , 199.0083
0.6135 , 198.3471
0.6039 , 199.6694
0.5866 , 198.3471
0.5636 , 197.6860
0.5508 , 194.3802
0.5374 , 197.6860
0.5138 , 197.0248
0.5074 , 195.0413
0.4901 , 194.3802
0.4658 , 192.3967
0.4473 , 190.4132
0.4159 , 187.1074
0.4051 , 189.0909
0.3891 , 186.4463
0.3654 , 185.7851
0.3507 , 184.4628
0.3386 , 185.1240
0.3143 , 184.4628
0.3060 , 184.4628
0.2894 , 181.1570
0.2504 , 179.8347
0.2069 , 178.5124
0.1896 , 177.8512
0.1493 , 174.5455
0.1123 , 171.9008
0.1008 , 170.5785
0.0899 , 169.9174
0.0797 , 169.9174
0.0681 , 169.2562
0.0598 , 167.2727
0.0515 , 166.6116
0.0407 , 165.9504
0.0292 , 161.9835
0.0196 , 157.3554
0.0093 , 151.4050
0.0023 , 140.1653
0.0005 , 66.1157
