CAO,
X,Y
0.9905 , 731.2397
0.9791 , 704.7934
0.9465 , 677.6860
0.9012 , 579.8347
0.8477 , 489.2562
0.7979 , 436.3636
0.7557 , 407.2727
0.6976 , 380.1653
0.6516 , 362.9752
0.6017 , 349.7521
0.5538 , 337.1901
0.5046 , 326.6116
0.4560 , 318.0165
0.4164 , 311.4050
0.4068 , 308.7603
0.3902 , 307.4380
0.3652 , 303.4711
0.3563 , 300.1653
0.3403 , 298.8430
0.3147 , 294.2149
0.3090 , 291.5702
0.2905 , 288.9256
0.2834 , 286.9421
0.2579 , 283.6364
0.2425 , 280.9917
0.2329 , 278.3471
0.2099 , 274.3802
0.1927 , 271.7355
0.1844 , 269.7521
0.1588 , 265.1240
0.1428 , 262.4793
0.1345 , 261.1570
0.1102 , 255.2066
0.1000 , 253.8843
0.0910 , 249.9174
0.0795 , 248.5950
0.0699 , 244.6281
0.0597 , 243.3058
0.0501 , 239.3388
0.0399 , 235.3719
0.0297 , 230.0826
0.0188 , 221.4876
0.0093 , 210.9091
0.0067 , 199.6694
0.0029 , 185.7851
