ACF,
X,Y
1.0000 , 803.5439
0.9503 , 803.5439
0.9051 , 799.6918
0.8560 , 801.2327
0.8057 , 802.0031
0.7547 , 802.7735
0.7050 , 803.5439
0.6546 , 802.7735
0.6043 , 801.2327
0.5539 , 801.2327
0.5036 , 798.9214
0.4500 , 796.6102
0.3996 , 790.4468
0.3518 , 782.7427
0.2995 , 771.1864
0.2511 , 751.9260
0.1982 , 724.1911
0.1504 , 686.4407
0.0988 , 633.2820
0.0813 , 612.4807
0.0607 , 583.9753
0.0426 , 551.6179
0.0194 , 500.0000
0.0090 , 459.1680
0.0071 , 447.6117
0.0045 , 432.2034
0.0026 , 410.6317
0.0013 , 359.0139
-0.0006 , 344.3760
-0.0013 , 325.8860
-0.0006 , 297.3806
0.0000 , 9.2450
