Ab-2,
X,Y
0.0214 , 16.3142
0.0330 , 17.0396
0.0448 , 17.7084
0.0536 , 18.2228
0.0663 , 18.7113
0.0787 , 19.1314
0.0910 , 19.4701
0.1027 , 19.7749
0.1158 , 20.1318
0.1282 , 20.4270
0.1406 , 20.6024
0.1529 , 20.8295
0.1653 , 20.9941
0.1777 , 21.1169
0.1900 , 21.2533
0.2024 , 21.4399
0.2148 , 21.5027
0.2271 , 21.6489
0.2395 , 21.7425
0.2518 , 21.8356
0.2642 , 22.0111
0.2766 , 22.0114
0.2889 , 22.0854
0.3013 , 22.2881
0.3136 , 22.2599
0.3260 , 22.3213
0.3384 , 22.3797
0.3507 , 22.4353
0.3631 , 22.4528
0.3754 , 22.5054
0.3878 , 22.5572
0.4002 , 22.5904
0.4125 , 22.6750
0.4249 , 22.6925
0.4372 , 22.7471
0.4496 , 22.7636
0.4619 , 22.8211
0.4743 , 22.8299
0.4867 , 22.9093
0.4990 , 23.0139
0.5114 , 22.9596
0.5237 , 22.9829
0.5361 , 22.9955
0.5484 , 23.0530
0.5608 , 23.0793
0.5731 , 23.1018
0.5855 , 23.1411
0.5979 , 23.2076
0.6102 , 23.1945
0.6226 , 23.1807
0.6349 , 23.2011
0.6473 , 23.2313
0.6596 , 23.2401
0.6720 , 23.2479
0.6843 , 23.3064
0.6967 , 23.3015
0.7091 , 23.3298
0.7214 , 23.3356
0.7338 , 23.3356
0.7461 , 23.3473
0.7585 , 23.3678
0.7708 , 23.3678
0.7832 , 23.3912
0.7955 , 23.4058
0.8079 , 23.4538
0.8203 , 23.4350
0.8326 , 23.4672
0.8450 , 23.4847
0.8573 , 23.5198
0.8697 , 23.5227
0.8820 , 23.5777
0.8944 , 23.6069
0.9067 , 23.5851
0.9191 , 23.6402
0.9315 , 23.6893
0.9438 , 23.7361
0.9562 , 23.7887
0.9685 , 23.8472
0.9809 , 23.7545
0.9893 , 23.6843
