ACF-PAN,
X,Y
0.9937 , 196.2333
0.9860 , 196.2370
0.9777 , 195.7612
0.9680 , 195.7659
0.9424 , 195.7782
0.9173 , 194.8306
0.8929 , 195.3221
0.8673 , 195.3344
0.8358 , 194.8697
0.8178 , 194.3986
0.7678 , 195.3822
0.7158 , 195.4071
0.6676 , 194.9504
0.6169 , 194.9747
0.5675 , 194.5187
0.5174 , 194.0629
0.4911 , 194.5553
0.4667 , 193.1277
0.4231 , 193.6284
0.3974 , 192.6812
0.3871 , 192.6861
0.3788 , 192.6901
0.3691 , 192.6947
0.3576 , 192.2205
0.3486 , 192.2248
0.3396 , 191.7493
0.3306 , 191.7536
0.3204 , 192.2383
0.3101 , 191.2837
0.2992 , 191.2890
0.2889 , 191.2939
0.2786 , 190.8190
0.2690 , 191.3034
0.2600 , 189.8684
0.2497 , 189.8733
0.2401 , 189.3982
0.2292 , 189.4034
0.2215 , 189.4071
0.2106 , 188.4528
0.1996 , 188.4580
0.1804 , 188.4673
0.1611 , 186.5574
0.1405 , 185.1279
0.1200 , 183.6984
0.1001 , 182.2686
0.0891 , 180.3548
0.0808 , 179.3992
0.0705 , 177.9648
0.0602 , 175.5709
0.0505 , 174.1361
0.0415 , 171.2618
0.0344 , 167.9067
0.0254 , 165.0324
0.0170 , 159.7588
0.0105 , 154.0046
0.0059 , 146.3303
0.0032 , 139.6146
0.0018 , 130.9793
0.0004 , 120.9045
-0.0010 , 110.8298
-0.0012 , 102.6736
-0.0019 , 94.0379
-0.0020 , 85.4019
-0.0022 , 76.7659
-0.0016 , 68.1296
-0.0017 , 59.9734
-0.0019 , 51.3374
-0.0013 , 42.7011
-0.0008 , 34.0648
-0.0009 , 26.8682
-0.0017 , 18.7122
-0.0005 , 11.9947
