2hr-875stC,
X,Y
0.0375 , 244.2584
0.0522 , 247.8196
0.0607 , 250.4410
0.1039 , 258.1387
0.1194 , 260.2082
0.1526 , 264.3499
0.1603 , 264.5452
0.1982 , 267.3861
0.2215 , 268.1584
0.2361 , 270.0405
0.2671 , 271.1945
0.3043 , 271.7958
0.3182 , 274.2368
0.3631 , 275.0333
0.3793 , 275.7978
0.4359 , 276.9804
0.4839 , 278.7133
0.5264 , 279.8803
0.5559 , 280.6595
0.5953 , 282.9425
0.6162 , 283.1525
0.6395 , 283.7382
0.6720 , 285.0806
0.6898 , 285.8468
0.7192 , 286.9991
0.7347 , 287.9492
0.7494 , 289.2717
0.7656 , 289.1033
0.7757 , 290.2340
0.7888 , 290.8084
0.7997 , 291.3802
0.8128 , 292.5143
0.8244 , 293.0870
0.8376 , 294.4077
0.8507 , 295.3553
0.8615 , 296.1137
0.8755 , 297.0621
0.8878 , 298.1953
0.8956 , 300.0697
0.9110 , 301.5795
0.9234 , 303.8321
0.9411 , 308.1430
0.9534 , 311.3285
0.9658 , 313.3946
0.9766 , 316.7648
