850stC-4hr,
X,Y
0.0476 , 238.3507
0.0523 , 240.7068
0.0639 , 241.5724
0.1010 , 248.5111
0.1188 , 250.6159
0.1606 , 254.5757
0.2078 , 258.4102
0.2202 , 259.3997
0.2658 , 261.3734
0.3045 , 263.3490
0.3579 , 265.1968
0.3726 , 266.1857
0.4368 , 268.4030
0.4840 , 270.3764
0.5257 , 272.3511
0.5636 , 273.3343
0.5938 , 275.1878
0.6139 , 276.1754
0.6448 , 277.4084
0.6719 , 279.2627
0.6951 , 280.2495
0.7145 , 282.2299
0.7330 , 283.3419
0.7493 , 284.2063
0.7624 , 285.3197
0.7748 , 288.2943
0.7864 , 289.4080
0.7980 , 290.3977
0.8081 , 291.1396
0.8158 , 291.2618
0.8236 , 292.3765
0.8359 , 294.3585
0.8483 , 295.3480
0.8615 , 296.4614
0.8692 , 297.2039
0.8777 , 298.3184
0.8886 , 299.4323
0.9033 , 300.9175
0.9133 , 302.2798
0.9226 , 303.3941
0.9311 , 304.6327
0.9419 , 306.1188
0.9497 , 307.4817
0.9590 , 308.9682
0.9667 , 310.5792
0.9752 , 312.0659
