cellulose,
X,Y
-0.0000 , 20.7089
0.0016 , 50.3768
0.0016 , 79.4812
0.0007 , 101.3075
0.0032 , 153.9250
0.0092 , 166.8117
0.0214 , 175.7941
0.0309 , 180.8528
0.0456 , 185.3634
0.0630 , 188.7605
0.0717 , 191.0187
0.0873 , 194.9716
0.1003 , 197.7992
0.1211 , 200.0846
0.1411 , 202.3681
0.2244 , 213.1890
0.3095 , 223.4540
0.3963 , 230.9245
0.4822 , 238.3929
0.5134 , 243.5002
0.5681 , 244.7420
0.6532 , 252.2086
0.7365 , 262.4697
0.8172 , 272.7250
0.8962 , 283.5362
0.9673 , 302.7253
0.9967 , 355.4031
0.9981 , 509.3242
