64wt.%,
X,Y
0.9960 , 358.5252
0.9833 , 356.5823
0.9716 , 355.4150
0.9484 , 353.4680
0.9210 , 352.2946
0.8996 , 351.5111
0.8608 , 350.3333
0.7993 , 347.2087
0.7496 , 346.0266
0.6998 , 342.5190
0.6505 , 339.3991
0.6008 , 335.1163
0.5493 , 330.0575
0.5009 , 325.0000
0.4756 , 322.2770
0.4503 , 318.7789
0.4263 , 316.4440
0.4006 , 313.3332
0.3762 , 309.4478
0.3496 , 306.3367
0.3408 , 304.3953
0.3081 , 299.7315
0.2523 , 289.6323
0.2051 , 280.3117
0.1794 , 273.7126
0.1528 , 267.1131
0.1266 , 259.7387
0.1009 , 251.9767
0.0856 , 244.6065
0.0607 , 232.9689
0.0406 , 220.1704
0.0306 , 212.0270
0.0244 , 207.3735
0.0192 , 201.5575
0.0157 , 195.3546
0.0126 , 190.3146
0.0100 , 184.8873
0.0078 , 177.9097
0.0052 , 171.3195
0.0025 , 162.0161
0.0012 , 151.9381
-0.0001 , 141.8601
