C7K4T-600stC,
X,Y
0.0088 , 115.6271
0.0328 , 127.6032
0.0695 , 134.9365
0.0828 , 136.9387
0.1028 , 139.6098
0.1241 , 140.2884
0.1434 , 142.9591
0.1621 , 144.3004
0.1834 , 144.9790
0.2014 , 145.6554
0.2500 , 147.6811
0.3027 , 149.0450
0.3526 , 150.4071
0.4046 , 152.4349
0.4539 , 154.4611
0.5025 , 154.4934
0.5532 , 156.5204
0.6045 , 156.5545
0.6504 , 157.9139
0.7031 , 159.9422
0.7510 , 160.6386
0.8010 , 161.3362
0.8243 , 162.0162
0.8363 , 164.0175
0.8523 , 162.0348
0.8790 , 164.0458
0.9016 , 164.7253
0.9263 , 166.0706
0.9523 , 167.4168
0.9796 , 173.4150
0.9929 , 183.3906
