SK4T-800stC,
X,Y
0.0109 , 178.9116
0.0313 , 199.3197
0.0613 , 219.0476
0.0804 , 227.8912
0.1035 , 236.7347
0.1233 , 241.4966
0.1451 , 246.9388
0.1662 , 251.7007
0.1880 , 255.1020
0.2064 , 257.8231
0.2554 , 262.5850
0.3079 , 267.3469
0.3583 , 270.0680
0.4046 , 271.4286
0.4550 , 272.7891
0.5020 , 274.8299
0.5545 , 274.8299
0.6042 , 277.5510
0.6533 , 278.2313
0.7044 , 278.9116
0.7507 , 280.2721
0.8038 , 281.6327
0.8222 , 282.9932
0.8535 , 283.6735
0.8787 , 285.0340
0.9040 , 287.0748
0.9264 , 287.7551
0.9537 , 289.7959
0.9762 , 293.8776
0.9864 , 299.3197
0.9946 , 305.4422
