C7K4T-900stC,
X,Y
0.0092 , 427.9198
0.0300 , 480.4252
0.0560 , 527.6186
0.0840 , 562.1887
0.1007 , 582.1334
0.1214 , 604.0740
0.1414 , 624.6853
0.1634 , 643.3046
0.1848 , 661.2590
0.2054 , 675.8906
0.2501 , 704.4918
0.3141 , 738.4213
0.3781 , 766.3708
0.3981 , 773.6931
0.4521 , 791.6692
0.5047 , 806.9865
0.5534 , 818.3145
0.6040 , 829.6439
0.6540 , 839.6439
0.7053 , 848.9803
0.7566 , 857.6522
0.8053 , 866.9869
0.8253 , 870.3224
0.8559 , 874.9940
0.8799 , 878.9966
0.9066 , 883.6655
0.9306 , 887.6681
0.9539 , 891.6704
0.9799 , 898.3321
0.9872 , 906.3104
0.9939 , 910.9660
